    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD,STDERRofAVG
  POGhosts,   THREE_MODULES,18,6212.1,3671.5057,310,13320,367.2,621210,5193534100,3671.5057,
  POGhosts,   THREE_MODULES,19,6744.4,3489.8257,560,14040,349,674440,5754402600,3489.8257,
  POGhosts, THREE_MULTITASK,0,4448,4189.5478,140,17050,419,444800,3716149200,4189.5478,252.7595035
  POGhosts, THREE_MULTITASK,1,8175.5,3267.6536,710,15100,326.8,817550,7740958500,3267.6536,
  POGhosts, THREE_MULTITASK,2,6774.5,4234.183,560,14200,423.4,677450,6364287300,4234.183,
  POGhosts, THREE_MULTITASK,3,8649.7,3554.9986,450,14790,355.5,864970,8732894500,3554.9986
  POGhosts, THREE_MULTITASK,4,8839.7,3254.6124,1140,14380,325.5,883970,8862687300,3254.6124
  POGhosts, THREE_MULTITASK,5,7430.9,3292.4699,1210,13410,329.2,743090,6595022900,3292.4699
  POGhosts, THREE_MULTITASK,6,8202.8,3210.402,1120,14420,321,820280,7748954200,3210.402
  POGhosts, THREE_MULTITASK,7,7438.6,4260.3557,750,16020,426,743860,7330189400,4260.3557
  POGhosts, THREE_MULTITASK,8,8315.3,3491.012,780,14760,349.1,831530,8120950700,3491.012
  POGhosts, THREE_MULTITASK,9,8089.3,4026.668,750,15620,402.7,808930,8148868900,4026.668
  POGhosts, THREE_MULTITASK,10,8898.6,3031.4863,1370,15020,303.1,889860,8828309200,3031.4863
  POGhosts, THREE_MULTITASK,11,8217.6,3146.6288,1560,14090,314.7,821760,7733121000,3146.6288
  POGhosts, THREE_MULTITASK,12,6804.6,3996.8666,330,14910,399.7,680460,6211777400,3996.8666
  POGhosts, THREE_MULTITASK,13,8732.7,3871.8852,880,16650,387.2,873270,9110162900,3871.8852
  POGhosts, THREE_MULTITASK,14,8756.5,3172.5347,640,15270,317.3,875650,8664061900,3172.5347
  POGhosts, THREE_MULTITASK,15,6979.6,4125.5195,380,15000,412.6,697960,6556452800,4125.5195
  POGhosts, THREE_MULTITASK,16,6874.6,4640.4298,220,16910,464,687460,6857837800,4640.4298
  POGhosts, THREE_MULTITASK,17,8874,3505.3762,1140,14170,350.5,887400,9091266200,3505.3762
  POGhosts, THREE_MULTITASK,18,9303.4,3196.4925,1760,15830,319.6,930340,9666864000,3196.4925
  POGhosts, THREE_MULTITASK,19,8449.3,3768.6847,720,14940,376.9,844930,8545162500,3768.6847,
  POGhosts,             MMD,0,5623.6,4376.7925,290,13620,437.7,562360,5058962600,4376.7925,505.0172875
  POGhosts,             MMD,1,5669.6,3966.7107,280,14040,396.7,566960,4772181000,3966.7107,
  POGhosts,             MMD,2,3046.1,3367.5777,160,13340,336.8,304610,2050589900,3367.5777,
  POGhosts,             MMD,3,3117.7,3545.595,260,12940,354.6,311770,2216558500,3545.595,
  POGhosts,             MMD,4,2631.5,3257.0143,250,12930,325.7,263150,1742685300,3257.0143,
  POGhosts,             MMD,5,7690.4,2383.6001,440,12660,238.4,769040,6476698600,2383.6001,
  POGhosts,             MMD,6,376.4,943.8643,70,6940,94.4,37640,102364800,943.8643,
  POGhosts,             MMD,7,2948.7,3245.8022,80,14080,324.6,294870,1912471100,3245.8022,
  POGhosts,             MMD,8,5613.7,4044.623,280,13900,404.5,561370,4770901300,4044.623,
