    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD
  POGhosts,   THREE_MODULES,    5,   621.3000,   797.9755,       70.0,     4360.0,       79.8,    62130.0,    101641100.0,   797.9755
  POGhosts,   THREE_MODULES,    6,   845.9000,  1291.4467,      120.0,     8560.0,      129.1,    84590.0,    236670300.0,  1291.4467
  POGhosts,   THREE_MODULES,    7,   434.5000,   711.1655,       70.0,     3460.0,       71.1,    43450.0,     68948900.0,   711.1655
  POGhosts,   THREE_MODULES,    8,  1371.9000,  1796.8326,       70.0,     8230.0,      179.7,   137190.0,    507843100.0,  1796.8326
  POGhosts,   THREE_MODULES,    9,   295.0000,   543.8481,       40.0,     3940.0,       54.4,    29500.0,     37983800.0,   543.8481
  POGhosts,   THREE_MODULES,   10,   567.0000,   710.5589,       70.0,     3750.0,       71.1,    56700.0,     82133400.0,   710.5589
  POGhosts,   THREE_MODULES,   11,   971.9000,  1346.4992,       70.0,     7730.0,      134.6,    97190.0,    273951900.0,  1346.4992
  POGhosts,   THREE_MODULES,   12,  1076.1000,  1124.1517,       70.0,     6010.0,      112.4,   107610.0,    240907100.0,  1124.1517
  POGhosts,   THREE_MODULES,   13,  1433.0000,  2032.1126,       70.0,     9440.0,      203.2,   143300.0,    614167600.0,  2032.1126
  POGhosts,   THREE_MODULES,   14,   645.7000,  1034.6036,       70.0,     5960.0,      103.5,    64570.0,    147662900.0,  1034.6036
  POGhosts,   THREE_MODULES,   15,   725.9000,   683.7938,       70.0,     3850.0,       68.4,    72590.0,     98982900.0,   683.7938
  POGhosts,   THREE_MODULES,   16,  1607.7000,  1439.3600,       70.0,     8100.0,      143.9,   160770.0,    463573900.0,  1439.3600
  POGhosts,   THREE_MODULES,   17,  1088.4000,  1264.5163,       70.0,     7180.0,      126.5,   108840.0,    276762600.0,  1264.5163
  POGhosts,   THREE_MODULES,   18,  1548.0000,  1716.6723,      120.0,     8580.0,      171.7,   154800.0,    531379800.0,  1716.6723
  POGhosts,   THREE_MODULES,   19,  2378.0000,  2064.8247,      190.0,     7840.0,      206.5,   237800.0,    987575000.0,  2064.8247
  POGhosts, THREE_MULTITASK,    0,  1153.6000,  1454.1446,       70.0,     7040.0,      145.4,   115360.0,    342418400.0,  1454.1446
  POGhosts, THREE_MULTITASK,    1,  3716.2000,  2564.0722,      190.0,    11840.0,      256.4,   371620.0,   2031886400.0,  2564.0722
  POGhosts, THREE_MULTITASK,    2,  2470.4000,  1991.6177,      190.0,    10900.0,      199.2,   247040.0,   1002975200.0,  1991.6177
  POGhosts, THREE_MULTITASK,    3,  2608.0000,  1961.5336,      170.0,     9910.0,      196.2,   260800.0,   1061080200.0,  1961.5336
  POGhosts, THREE_MULTITASK,    4,  2027.2000,  1355.9961,       80.0,     6870.0,      135.6,   202720.0,    592987800.0,  1355.9961
  POGhosts, THREE_MULTITASK,    5,  3466.7000,  1723.8998,      190.0,     8650.0,      172.4,   346670.0,   1496012100.0,  1723.8998
  POGhosts, THREE_MULTITASK,    6,  2928.0000,  2070.3677,      210.0,    12070.0,      207.0,   292800.0,   1281674200.0,  2070.3677
  POGhosts, THREE_MULTITASK,    7,  2929.9000,  2748.3598,      170.0,    15060.0,      274.8,   292990.0,   1606226100.0,  2748.3598
