    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD
  POGhosts,   THREE_MODULES,    5,   722.8000,   880.5004,       60.0,     6090.0,       88.1,    72280.0,    128996800.0,   880.5004
  POGhosts,   THREE_MODULES,    6,  1387.8000,  1600.3734,      110.0,     6430.0,      160.0,   138780.0,    446157200.0,  1600.3734
  POGhosts,   THREE_MODULES,    7,   535.7000,   878.1584,       70.0,     3780.0,       87.8,    53570.0,    105042500.0,   878.1584
  POGhosts,   THREE_MODULES,    8,   992.7000,  1523.7884,       70.0,     9710.0,      152.4,    99270.0,    328416500.0,  1523.7884
  POGhosts,   THREE_MODULES,    9,   327.5000,   423.7266,       40.0,     2540.0,       42.4,    32750.0,     28500500.0,   423.7266
  POGhosts,   THREE_MODULES,   10,   716.3000,  1106.9155,       70.0,     8390.0,      110.7,    71630.0,    172609500.0,  1106.9155
  POGhosts,   THREE_MODULES,   11,  1907.0000,  2019.8242,       70.0,     9020.0,      202.0,   190700.0,    767554200.0,  2019.8242
  POGhosts,   THREE_MODULES,   12,  1508.4000,  1823.0077,      190.0,     9020.0,      182.3,   150840.0,    556539400.0,  1823.0077
  POGhosts,   THREE_MODULES,   13,  1407.2000,  1572.5975,       70.0,     8530.0,      157.3,   140720.0,    442854400.0,  1572.5975
  POGhosts,   THREE_MODULES,   14,   832.0000,  1320.4093,       70.0,     5890.0,      132.0,    83200.0,    241827000.0,  1320.4093
  POGhosts,   THREE_MODULES,   15,   778.6000,  1059.6302,       70.0,     5330.0,      106.0,    77860.0,    171780600.0,  1059.6302
  POGhosts,   THREE_MODULES,   16,  1535.9000,  1400.5923,      150.0,     6690.0,      140.1,   153590.0,    430103100.0,  1400.5923
  POGhosts,   THREE_MODULES,   17,  1770.3000,  1701.6079,      150.0,     9550.0,      170.2,   177030.0,    600047700.0,  1701.6079
  POGhosts,   THREE_MODULES,   18,  1474.3000,  1941.0214,      160.0,     9590.0,      194.1,   147430.0,    590344900.0,  1941.0214
  POGhosts,   THREE_MODULES,   19,  3496.8000,  2528.4865,      490.0,    11600.0,      252.8,   349680.0,   1855692200.0,  2528.4865
  POGhosts, THREE_MULTITASK,    0,  1125.1000,  1379.8569,       70.0,     7920.0,      138.0,   112510.0,    315081500.0,  1379.8569
  POGhosts, THREE_MULTITASK,    1,  3528.8000,  2604.9530,      150.0,    13790.0,      260.5,   352880.0,   1917035200.0,  2604.9530
  POGhosts, THREE_MULTITASK,    2,  2783.9000,  2554.9413,       70.0,    13040.0,      255.5,   278390.0,   1421254700.0,  2554.9413
  POGhosts, THREE_MULTITASK,    3,  3244.3000,  2352.4624,      130.0,    12170.0,      235.2,   324430.0,   1600422100.0,  2352.4624
  POGhosts, THREE_MULTITASK,    4,  2098.0000,  1403.2272,       80.0,     6550.0,      140.3,   209800.0,    635096000.0,  1403.2272
  POGhosts, THREE_MULTITASK,    5,  3257.6000,  1873.3614,      450.0,    13210.0,      187.3,   325760.0,   1408634600.0,  1873.3614
  POGhosts, THREE_MULTITASK,    6,  3550.6000,  2213.2748,      530.0,    10510.0,      221.3,   355060.0,   1745636000.0,  2213.2748
  POGhosts, THREE_MULTITASK,    7,  3848.8000,  2881.3529,      250.0,    13570.0,      288.1,   384880.0,   2303243400.0,  2881.3529
  POGhosts, THREE_MULTITASK,    8,  3831.1000,  2324.7743,     1010.0,    12280.0,      232.5,   383110.0,   2002785700.0,  2324.7743
  POGhosts, THREE_MULTITASK,    9,  3378.9000,  2632.2567,      140.0,    15120.0,      263.2,   337890.0,   1827645300.0,  2632.2567
  POGhosts, THREE_MULTITASK,   10,  4420.1000,  2992.9410,       70.0,    16320.0,      299.3,   442010.0,   2840540300.0,  2992.9410
  POGhosts, THREE_MULTITASK,   11,  3691.6000,  2298.4702,      230.0,    13270.0,      229.8,   369160.0,   1885804600.0,  2298.4702
  POGhosts, THREE_MULTITASK,   12,  2810.8000,  2201.9058,      270.0,     9770.0,      220.2,   281080.0,   1270050200.0,  2201.9058
  POGhosts, THREE_MULTITASK,   13,  2979.1000,  2529.4073,       70.0,    12630.0,      252.9,   297910.0,   1520895900.0,  2529.4073
  POGhosts, THREE_MULTITASK,   14,  3631.7000,  2395.4545,       70.0,    11620.0,      239.5,   363170.0,   1887006500.0,  2395.4545
  POGhosts, THREE_MULTITASK,   15,  3538.3000,  2277.0303,      170.0,     9340.0,      227.7,   353830.0,   1765258500.0,  2277.0303
  POGhosts, THREE_MULTITASK,   16,  2520.6000,  2511.2960,       70.0,    13420.0,      251.1,   252060.0,   1259696600.0,  2511.2960
  POGhosts, THREE_MULTITASK,   17,  3272.3000,  2562.0651,       70.0,    12440.0,      256.2,   327230.0,   1720648300.0,  2562.0651
  POGhosts, THREE_MULTITASK,   18,  3711.7000,  2516.2310,       70.0,    11830.0,      251.6,   371170.0,   2004482100.0,  2516.2310
  POGhosts, THREE_MULTITASK,   19,  3159.0000,  2511.3438,      110.0,     9950.0,      251.1,   315900.0,   1622306000.0,  2511.3438
  POGhosts,             MMD,    0,  1733.3000,  1825.4979,      140.0,     8620.0,      182.5,   173330.0,    630344700.0,  1825.4979
  POGhosts,             MMD,    1,  1974.3000,  1597.5437,      280.0,     8070.0,      159.8,   197430.0,    642448500.0,  1597.5437
  POGhosts,             MMD,    2,   756.8000,   968.1513,       70.0,     4530.0,       96.8,    75680.0,    150069000.0,   968.1513
  POGhosts,             MMD,    3,  1488.6000,  1854.7689,       70.0,     8200.0,      185.5,   148860.0,    562169600.0,  1854.7689
  POGhosts,             MMD,    4,  1083.7000,  1329.9014,       80.0,     6670.0,      133.0,   108370.0,    292535700.0,  1329.9014
  POGhosts,             MMD,    5,  2405.0000,  2221.2980,       60.0,    11120.0,      222.1,   240500.0,   1066884800.0,  2221.2980
  POGhosts,             MMD,    6,   165.2000,   283.5934,       20.0,     2840.0,       28.4,    16520.0,     10691200.0,   283.5934
  POGhosts,             MMD,    7,   526.7000,   942.8637,       80.0,     6460.0,       94.3,    52670.0,    115751500.0,   942.8637
  POGhosts,             MMD,    8,  1003.3000,  1246.9916,       80.0,     8540.0,      124.7,   100330.0,    254604900.0,  1246.9916
  POGhosts,             MMD,    9,   798.0000,  1126.6846,       70.0,     5800.0,      112.7,    79800.0,    189352800.0,  1126.6846
  POGhosts,             MMD,   10,  1173.9000,  1632.0192,      100.0,    11340.0,      163.2,   117390.0,    401489300.0,  1632.0192
  POGhosts,             MMD,   11,  1442.1000,  1550.0787,      270.0,     9240.0,      155.0,   144210.0,    445836900.0,  1550.0787
