    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD,STDERRofAVG
  POGhosts, THREE_MULTITASK,1,3716.2,2564.0722,190,11840,256.4,371620,2031886400,2564.0722,
  POGhosts, THREE_MULTITASK,2,2470.4,1991.6177,190,10900,199.2,247040,1002975200,1991.6177,
  POGhosts, THREE_MULTITASK,3,2608,1961.5336,170,9910,196.2,260800,1061080200,1961.5336
  POGhosts, THREE_MULTITASK,4,2027.2,1355.9961,80,6870,135.6,202720,592987800,1355.9961
  POGhosts, THREE_MULTITASK,5,3466.7,1723.8998,190,8650,172.4,346670,1496012100,1723.8998
  POGhosts, THREE_MULTITASK,6,2928,2070.3677,210,12070,207,292800,1281674200,2070.3677
  POGhosts, THREE_MULTITASK,7,2929.9,2748.3598,170,15060,274.8,292990,1606226100,2748.3598
  POGhosts, THREE_MULTITASK,8,3566.2,2227.9028,190,11270,222.8,356620,1763169800,2227.9028
  POGhosts, THREE_MULTITASK,9,2295.3,2228.8097,140,10770,222.9,229530,1018631900,2228.8097
  POGhosts, THREE_MULTITASK,10,3056.7,2453.3346,100,11630,245.3,305670,1530207700,2453.3346
  POGhosts, THREE_MULTITASK,11,3194.7,2338.1364,70,13390,233.8,319470,1561832100,2338.1364
  POGhosts, THREE_MULTITASK,12,3034.7,2383.6033,190,12220,238.4,303470,1483415300,2383.6033
  POGhosts, THREE_MULTITASK,13,2747.8,2056.6186,190,10820,205.7,274780,1173778800,2056.6186
  POGhosts, THREE_MULTITASK,14,3486.9,2544.6913,150,12510,254.5,348690,1856917100,2544.6913
  POGhosts, THREE_MULTITASK,15,3222.8,2580.8827,140,12600,258.1,322280,1698078600,2580.8827
  POGhosts, THREE_MULTITASK,16,1443.4,1530.7655,70,7270,153.1,144340,440321400,1530.7655
  POGhosts, THREE_MULTITASK,17,2849.2,2040.4321,140,9930,204,284920,1223967000,2040.4321
  POGhosts, THREE_MULTITASK,18,2864.9,2165.7735,70,9800,216.6,286490,1285132100,2165.7735
  POGhosts, THREE_MULTITASK,19,2242.7,1844.4324,180,7490,184.4,224270,839761500,1844.4324,
  POGhosts,             MMD,0,1163.9,1485.2534,90,7060,148.5,116390,353858100,1485.2534,96.97502489
  POGhosts,             MMD,1,1711.6,1577.8465,190,9240,157.8,171160,539427800,1577.8465,
  POGhosts,             MMD,2,685.4,840.9559,70,3940,84.1,68540,116990800,840.9559,
  POGhosts,             MMD,3,975.4,1194.4615,70,6700,119.4,97540,236387600,1194.4615,
  POGhosts,             MMD,4,884.2,1181.993,80,5650,118.2,88420,216494600,1181.993,
  POGhosts,             MMD,5,1642.8,1594.4747,160,8400,159.4,164280,521571800,1594.4747,
  POGhosts,             MMD,6,159,265.3433,50,2740,26.5,15900,9498400,265.3433,
  POGhosts,             MMD,7,633.3,796.9741,80,4860,79.7,63330,102988500,796.9741,
  POGhosts,             MMD,8,993.9,1319.9838,70,8970,132,99390,271277100,1319.9838,
  POGhosts,             MMD,9,572.6,896.5564,70,5850,89.7,57260,112364600,896.5564,
  POGhosts,             MMD,10,963.4,1300.4515,100,6520,130,96340,260240200,1300.4515,
  POGhosts,             MMD,11,1485.5,1451.0076,160,7980,145.1,148550,429107900,1451.0076,
  POGhosts,             MMD,12,648.3,1034.5028,140,7220,103.5,64830,147978700,1034.5028,
  POGhosts,             MMD,13,1048.9,1184.239,140,6430,118.4,104890,248858900,1184.239,
  POGhosts,             MMD,14,914.3,1181.5392,90,5710,118.2,91430,221801900,1181.5392,
  POGhosts,             MMD,15,1676.6,1597.4343,140,7570,159.7,167660,533726600,1597.4343,
  POGhosts,             MMD,16,366.8,626.0101,70,4700,62.6,36680,52251200,626.0101,
  POGhosts,             MMD,17,659.2,907.9221,40,4560,90.8,65920,125062400,907.9221,
  POGhosts,             MMD,18,564.6,672.7517,70,3620,67.3,56460,76684200,672.7517,
  POGhosts,             MMD,19,736.7,814.8583,70,7140,81.5,73670,120008100,814.8583,
  COGhosts,      ONE_MODULE,0,1326.6,1533.4409,170,6530,153.3,132660,408779400,1533.4409,171.0647304
  COGhosts,      ONE_MODULE,1,1045.9,1180.3433,100,4940,118,104590,247318500,1180.3433,
  COGhosts,      ONE_MODULE,2,406.7,881.8198,40,5470,88.2,40670,93523500,881.8198,
  COGhosts,      ONE_MODULE,3,374.1,690.8626,70,5620,69.1,37410,61246900,690.8626,
  COGhosts,      ONE_MODULE,4,971.1,1003.5049,140,5100,100.4,97110,193998700,1003.5049,
  COGhosts,      ONE_MODULE,5,212.3,352.1244,70,3650,35.2,21230,16782300,352.1244,
  COGhosts,      ONE_MODULE,6,1723.8,1935.1072,140,8780,193.5,172380,667868000,1935.1072,
  COGhosts,      ONE_MODULE,7,192,493.8511,70,5070,49.4,19200,27831400,493.8511,
  COGhosts,      ONE_MODULE,8,1531.6,1245.1974,70,7970,124.5,153160,388081000,1245.1974,
  COGhosts,      ONE_MODULE,9,188.3,275.0502,40,2780,27.5,18830,11035300,275.0502,
  COGhosts,      ONE_MODULE,10,316.5,461.8439,80,4680,46.2,31650,31133900,461.8439,
  COGhosts,      ONE_MODULE,11,1559.7,1860.6062,130,9350,186.1,155970,585990100,1860.6062,
  COGhosts,      ONE_MODULE,12,316.8,228.3886,90,2260,22.8,31680,15200200,228.3886,
  COGhosts,      ONE_MODULE,13,296.7,623.8866,40,4740,62.4,29670,47337300,623.8866,
  COGhosts,      ONE_MODULE,14,326.5,426.1748,70,3440,42.6,32650,28641100,426.1748,
  COGhosts,      ONE_MODULE,15,1754.2,1558.5102,140,6540,155.9,175420,548188200,1558.5102,
  COGhosts,      ONE_MODULE,16,3051.9,2688.2861,180,10680,268.8,305190,1646870700,2688.2861,
  COGhosts,      ONE_MODULE,17,270.5,621.1872,40,6350,62.1,27050,45518500,621.1872,
  COGhosts,      ONE_MODULE,18,811.6,1158.1889,70,6060,115.8,81160,198668200,1158.1889,
  COGhosts,      ONE_MODULE,19,344.8,493.5308,30,3120,49.4,34480,36002400,493.5308,
  COGhosts,     TWO_MODULES,0,1894.2,2144.3886,100,9790,214.4,189420,814041200,2144.3886,163.4743233
  COGhosts,     TWO_MODULES,1,774.9,1215.6733,70,7590,121.6,77490,206355300,1215.6733,
  COGhosts,     TWO_MODULES,2,134.5,151.0594,40,1370,15.1,13450,4068100,151.0594,
  COGhosts,     TWO_MODULES,3,1002.1,1478.5464,70,7460,147.9,100210,316844300,1478.5464,
  COGhosts,     TWO_MODULES,4,214.6,362.6931,70,3080,36.3,21460,17628400,362.6931,
  COGhosts,     TWO_MODULES,5,1802.5,1791.8741,70,7500,179.2,180250,642771100,1791.8741,
  COGhosts,     TWO_MODULES,6,187.2,336.4553,30,3420,33.6,18720,14711400,336.4553,
  COGhosts,     TWO_MODULES,7,2880.6,2276.7001,190,9150,227.7,288060,1342938600,2276.7001,
  COGhosts,     TWO_MODULES,8,218.2,365.0554,40,3680,36.5,21820,17954400,365.0554,
  COGhosts,     TWO_MODULES,9,389.3,624.9836,70,4800,62.5,38930,53825300,624.9836,
  COGhosts,     TWO_MODULES,10,633.9,666.7362,70,3840,66.7,63390,84192100,666.7362,
  COGhosts,     TWO_MODULES,11,1723.3,1694.5766,190,7600,169.5,172330,581263700,1694.5766,
  COGhosts,     TWO_MODULES,12,373.5,996.9351,30,7170,99.7,37350,112344300,996.9351,
  COGhosts,     TWO_MODULES,13,424.6,435.717,140,3550,43.6,42460,36823600,435.717,
  COGhosts,     TWO_MODULES,14,649.8,1221.391,100,7190,122.1,64980,189911800,1221.391,
  COGhosts,     TWO_MODULES,15,726.8,1139.4114,70,6730,113.9,72680,181351400,1139.4114,
  COGhosts,     TWO_MODULES,16,572,807.2275,80,3670,80.7,57200,97228400,807.2275,
  COGhosts,     TWO_MODULES,17,1191.8,1332.1619,70,5800,133.2,119180,317729600,1332.1619,
  COGhosts,     TWO_MODULES,18,416.5,632.6414,80,3760,63.3,41650,56970500,632.6414,
  COGhosts,     TWO_MODULES,19,217,276.0526,80,2830,27.6,21700,12253200,276.0526,
  COGhosts,   THREE_MODULES,0,466,575.8069,70,3420,57.6,46600,54539400,575.8069,147.3236115
  COGhosts,   THREE_MODULES,1,1517.6,1737.7177,150,8440,173.8,151760,529257600,1737.7177,
  COGhosts,   THREE_MODULES,2,1846.7,1839.6849,190,8150,184,184670,676089700,1839.6849,
  COGhosts,   THREE_MODULES,3,742.3,821.4017,50,5200,82.1,74230,121896300,821.4017
  COGhosts,   THREE_MODULES,4,679.7,1344.0955,70,9010,134.4,67970,225051900,1344.0955
  COGhosts,   THREE_MODULES,5,443.4,889.106,100,8670,88.9,44340,97920800,889.106
  COGhosts,   THREE_MODULES,6,510.1,820.6692,70,4910,82.1,51010,92696500,820.6692
  COGhosts,   THREE_MODULES,7,500.3,923.7598,70,6870,92.4,50030,109509900,923.7598
  COGhosts,   THREE_MODULES,8,1300.8,579.0984,150,2880,57.9,130080,202408200,579.0984
  COGhosts,   THREE_MODULES,9,2138.8,2225.8569,180,9500,222.6,213880,947936000,2225.8569
  COGhosts,   THREE_MODULES,10,305.5,511.404,70,4810,51.1,30550,35224900,511.404
  COGhosts,   THREE_MODULES,11,820,804.9744,120,3610,80.5,82000,131390400,804.9744
  COGhosts,   THREE_MODULES,12,409.9,811.3942,70,6040,81.1,40990,81979500,811.3942
  COGhosts,   THREE_MODULES,13,541.9,935.2941,80,6200,93.5,54190,115968300,935.2941
  COGhosts,   THREE_MODULES,14,452.1,402.493,160,2210,40.2,45210,36477500,402.493
  COGhosts,   THREE_MODULES,15,2506.3,2498.3306,170,9050,249.8,250630,1246077900,2498.3306
  COGhosts,   THREE_MODULES,16,326.5,528.4327,70,3750,52.8,32650,38305100,528.4327
  COGhosts,   THREE_MODULES,17,202.6,331.2072,70,3420,33.1,20260,14964800,331.2072
  COGhosts,   THREE_MODULES,18,484.9,792.432,80,4730,79.2,48490,85679700,792.432
  COGhosts,   THREE_MODULES,19,649.6,1159.5218,70,7040,116,64960,175302600,1159.5218,
  COGhosts, THREE_MULTITASK,0,2126,1653.0278,190,7430,165.3,212600,722505200,1653.0278,250.7960136
  COGhosts, THREE_MULTITASK,1,1781.2,1928.5973,190,9580,192.9,178120,685496600,1928.5973,
  COGhosts, THREE_MULTITASK,2,1495.1,1852.246,170,8530,185.2,149510,563183100,1852.246,
  COGhosts, THREE_MULTITASK,3,2434.6,2487.2903,110,12030,248.7,243460,1205202400,2487.2903,
  COGhosts, THREE_MULTITASK,4,2283.8,2746.159,190,17720,274.6,228380,1268171800,2746.159,
  COGhosts, THREE_MULTITASK,5,1498.5,1672.2472,120,6480,167.2,149850,501394900,1672.2472,
  COGhosts, THREE_MULTITASK,6,1543.6,2863.2769,80,12810,286.3,154360,1049907200,2863.2769,
  COGhosts, THREE_MULTITASK,7,877.9,1416.4198,70,7300,141.6,87790,275689100,1416.4198,
  COGhosts, THREE_MULTITASK,8,2821.7,2341.5734,170,9880,234.2,282170,1339012700,2341.5734,
  COGhosts, THREE_MULTITASK,9,3164.3,2095.9505,160,8240,209.6,316430,1436187300,2095.9505,
  COGhosts, THREE_MULTITASK,10,471.1,565.1904,70,3790,56.5,47110,53818100,565.1904,
  COGhosts, THREE_MULTITASK,11,3696.1,3065.3996,180,13840,306.5,369610,2296386300,3065.3996,
  COGhosts, THREE_MULTITASK,12,4683.3,3798.7808,190,16210,379.9,468330,3621972700,3798.7808,
  COGhosts, THREE_MULTITASK,13,3586.7,3174.0224,70,16020,317.4,358670,2283809100,3174.0224,
  COGhosts, THREE_MULTITASK,14,1169.7,1358.5736,70,6490,135.9,116970,319546300,1358.5736,
  COGhosts, THREE_MULTITASK,15,3549,2195.9957,190,12390,219.6,354900,1736957400,2195.9957,
  COGhosts, THREE_MULTITASK,16,865.1,967.3942,70,4040,96.7,86510,167489100,967.3942,
  COGhosts, THREE_MULTITASK,17,1330,1750.0551,190,9080,175,133000,480096600,1750.0551,
  COGhosts, THREE_MULTITASK,18,2057.6,2602.611,70,11220,260.3,205760,1093956600,2602.611,
  COGhosts, THREE_MULTITASK,19,1512.9,1248.5299,80,5350,124.9,151290,383210500,1248.5299,
  COGhosts,             MMD,0,407,1241.8408,70,11380,124.2,40700,169239600,1241.8408,129.9809939
  COGhosts,             MMD,1,229.2,563.0305,70,4810,56.3,22920,36636600,563.0305,
  COGhosts,             MMD,2,2125.1,1896.8781,100,8510,189.7,212510,807821500,1896.8781,
  COGhosts,             MMD,3,794.3,1312.3556,110,11390,131.2,79430,233596700,1312.3556,
  COGhosts,             MMD,4,370.6,786.7499,70,5260,78.7,37060,75013000,786.7499,
  COGhosts,             MMD,5,622.2,584.1035,200,3140,58.4,62220,72489800,584.1035,
  COGhosts,             MMD,6,880.6,1305.8685,140,6280,130.6,88060,246369600,1305.8685,
  COGhosts,             MMD,7,1165.1,1474.8583,70,6470,147.5,116510,351091300,1474.8583,
  COGhosts,             MMD,8,1746.4,1898.9607,70,8850,189.9,174640,661990400,1898.9607,
  COGhosts,             MMD,9,242.1,489.682,70,4520,49,24210,29600300,489.682,
  COGhosts,             MMD,10,666.6,1137.0236,70,6640,113.7,66660,172425000,1137.0236,
  COGhosts,             MMD,11,412.5,818.4925,50,5770,81.8,41250,83338700,818.4925
  COGhosts,             MMD,12,500.9,712.3813,190,5740,71.2,50090,75331300,712.3813
  COGhosts,             MMD,13,200.3,451.3357,30,3310,45.1,20030,24178700,451.3357
  COGhosts,             MMD,14,1781.1,1737.5444,140,8980,173.8,178110,616118700,1737.5444
  COGhosts,             MMD,15,161.5,148.4082,50,1550,14.8,16150,4788700,148.4082
  COGhosts,             MMD,16,430.3,403.1529,90,2320,40.3,43030,34606500,403.1529
  COGhosts,             MMD,17,359.7,346.5194,80,3460,34.7,35970,24825900,346.5194
  COGhosts,             MMD,18,268.9,598.1502,30,4660,59.8,26890,42651300,598.1502
  COGhosts,             MMD,19,246.1,282.3705,70,2520,28.2,24610,13950100,282.3705
