    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD,STDERRofAVG
  POGhosts, THREE_MULTITASK,0,1125.1,1379.8569,70,7920,138,112510,315081500,1379.8569,160.0552438
  POGhosts, THREE_MULTITASK,1,3528.8,2604.953,150,13790,260.5,352880,1917035200,2604.953,
  POGhosts, THREE_MULTITASK,2,2783.9,2554.9413,70,13040,255.5,278390,1421254700,2554.9413,
  POGhosts, THREE_MULTITASK,3,3244.3,2352.4624,130,12170,235.2,324430,1600422100,2352.4624
  POGhosts, THREE_MULTITASK,4,2098,1403.2272,80,6550,140.3,209800,635096000,1403.2272
  POGhosts, THREE_MULTITASK,5,3257.6,1873.3614,450,13210,187.3,325760,1408634600,1873.3614
  POGhosts, THREE_MULTITASK,6,3550.6,2213.2748,530,10510,221.3,355060,1745636000,2213.2748
  POGhosts, THREE_MULTITASK,7,3848.8,2881.3529,250,13570,288.1,384880,2303243400,2881.3529
  POGhosts, THREE_MULTITASK,8,3831.1,2324.7743,1010,12280,232.5,383110,2002785700,2324.7743
  POGhosts, THREE_MULTITASK,9,3378.9,2632.2567,140,15120,263.2,337890,1827645300,2632.2567
  POGhosts, THREE_MULTITASK,10,4420.1,2992.941,70,16320,299.3,442010,2840540300,2992.941
  POGhosts, THREE_MULTITASK,11,3691.6,2298.4702,230,13270,229.8,369160,1885804600,2298.4702
  POGhosts, THREE_MULTITASK,12,2810.8,2201.9058,270,9770,220.2,281080,1270050200,2201.9058
  POGhosts, THREE_MULTITASK,13,2979.1,2529.4073,70,12630,252.9,297910,1520895900,2529.4073
  POGhosts, THREE_MULTITASK,14,3631.7,2395.4545,70,11620,239.5,363170,1887006500,2395.4545
  POGhosts, THREE_MULTITASK,15,3538.3,2277.0303,170,9340,227.7,353830,1765258500,2277.0303
  POGhosts, THREE_MULTITASK,16,2520.6,2511.296,70,13420,251.1,252060,1259696600,2511.296
  POGhosts, THREE_MULTITASK,17,3272.3,2562.0651,70,12440,256.2,327230,1720648300,2562.0651
  POGhosts, THREE_MULTITASK,18,3711.7,2516.231,70,11830,251.6,371170,2004482100,2516.231
  POGhosts, THREE_MULTITASK,19,3159,2511.3438,110,9950,251.1,315900,1622306000,2511.3438,
  POGhosts,             MMD,0,1733.3,1825.4979,140,8620,182.5,173330,630344700,1825.4979,134.4834727
  POGhosts,             MMD,1,1974.3,1597.5437,280,8070,159.8,197430,642448500,1597.5437,
  POGhosts,             MMD,2,756.8,968.1513,70,4530,96.8,75680,150069000,968.1513,
  POGhosts,             MMD,3,1488.6,1854.7689,70,8200,185.5,148860,562169600,1854.7689,
  POGhosts,             MMD,4,1083.7,1329.9014,80,6670,133,108370,292535700,1329.9014,
  POGhosts,             MMD,5,2405,2221.298,60,11120,222.1,240500,1066884800,2221.298,
  POGhosts,             MMD,6,165.2,283.5934,20,2840,28.4,16520,10691200,283.5934,
  POGhosts,             MMD,7,526.7,942.8637,80,6460,94.3,52670,115751500,942.8637,
  POGhosts,             MMD,8,1003.3,1246.9916,80,8540,124.7,100330,254604900,1246.9916,
  POGhosts,             MMD,9,798,1126.6846,70,5800,112.7,79800,189352800,1126.6846,
  POGhosts,             MMD,10,1173.9,1632.0192,100,11340,163.2,117390,401489300,1632.0192,
  POGhosts,             MMD,11,1442.1,1550.0787,270,9240,155,144210,445836900,1550.0787,
  POGhosts,             MMD,12,619.8,1144.5399,100,9240,114.5,61980,168102400,1144.5399,
  POGhosts,             MMD,13,1572,1817.13,70,11170,181.7,157200,574012600,1817.13,
  POGhosts,             MMD,14,1029.8,1388.536,70,5790,138.9,102980,296924000,1388.536,
  POGhosts,             MMD,15,1896.7,1498.6418,140,6210,149.9,189670,582093900,1498.6418,
  POGhosts,             MMD,16,305.3,384.953,70,2690,38.5,30530,23991500,384.953,
  POGhosts,             MMD,17,688.1,1016.0636,70,3880,101.6,68810,149554300,1016.0636,
  POGhosts,             MMD,18,652,823.6161,70,4250,82.4,65200,109666400,823.6161,
  POGhosts,             MMD,19,636.7,644.4104,130,4060,64.4,63670,81649900,644.4104,
